"TYPE_CODE","DATEON","PERSONAL","FOREIGNER","COMPANY","FINANCE","INSURANCE","TOOSIN","BANK","ETC_FIN","GOV_FUND","ETC_FUND"
"01","05.06.07",-107.0,719.0,-612.0,130.0,59.0,-545.0,30.0,-35.0,-250.0,0.0
"01","05.06.08",-1644.0,-753.0,2396.0,-16.0,75.0,1573.0,37.0,28.0,699.0,0.0
"01","05.06.09",-747.0,-139.0,886.0,-155.0,121.0,-544.0,-134.0,-16.0,1613.0,0.0
"01","05.06.10",-524.0,-275.0,800.0,78.0,38.0,-177.0,-202.0,78.0,985.0,0.0
"01","05.06.13",-171.0,316.0,-145.0,-54.0,39.0,46.0,-124.0,-24.0,-27.0,0.0
"01","05.06.14",-421.0,-338.0,759.0,-151.0,-118.0,190.0,-191.0,55.0,975.0,0.0
"01","05.06.15",-1688.0,-847.0,2535.0,81.0,-5.0,926.0,4.0,70.0,1460.0,0.0
"01","05.06.16",-892.0,-372.0,1264.0,362.0,-23.0,-195.0,-95.0,62.0,1153.0,0.0
"01","05.06.17",-602.0,12.0,589.0,104.0,120.0,-403.0,90.0,-12.0,690.0,0.0
"01","05.06.20",131.0,121.0,-252.0,1.0,-56.0,-924.0,73.0,-16.0,670.0,0.0
"01","05.06.21",-54.0,-1569.0,1623.0,129.0,-79.0,823.0,31.0,-50.0,768.0,0.0
"01","05.06.22",-645.0,-1260.0,1905.0,53.0,92.0,1124.0,-147.0,-86.0,870.0,0.0
"01","05.06.23",-1029.0,909.0,120.0,127.0,24.0,-244.0,-57.0,-36.0,306.0,0.0
"01","05.06.24",297.0,30.0,-327.0,200.0,6.0,-1030.0,-24.0,-25.0,548.0,0.0
"01","05.06.27",1002.0,469.0,-1471.0,-75.0,121.0,-1410.0,-17.0,-31.0,-58.0,0.0
"01","05.06.28",-836.0,617.0,219.0,72.0,124.0,690.0,-1430.0,-106.0,869.0,0.0
"01","05.06.29",-1355.0,-556.0,1911.0,155.0,72.0,862.0,-21.0,2.0,842.0,0.0
"01","05.06.30",-1858.0,442.0,1417.0,77.0,137.0,1093.0,-53.0,-70.0,233.0,0.0
"01","05.07.01",-1043.0,1153.0,-110.0,-109.0,228.0,-834.0,15.0,40.0,549.0,0.0
"01","05.07.04",-322.0,1080.0,-758.0,198.0,308.0,-1234.0,62.0,156.0,-248.0,0.0
"01","05.07.05",-504.0,1002.0,-497.0,181.0,81.0,-497.0,-53.0,109.0,-319.0,0.0
"01","05.07.06",-292.0,759.0,-467.0,-216.0,182.0,-524.0,68.0,-44.0,67.0,0.0
"01","05.07.07",-1541.0,805.0,736.0,-355.0,42.0,600.0,51.0,83.0,315.0,0.0
"01","05.07.08",-940.0,1643.0,-703.0,-161.0,180.0,-318.0,-224.0,31.0,-212.0,0.0
"01","05.07.11",-1837.0,1166.0,670.0,-136.0,10.0,636.0,-18.0,15.0,164.0,0.0
"01","05.07.12",-1283.0,3044.0,-1761.0,198.0,133.0,-1418.0,-165.0,43.0,-553.0,0.0
"01","05.07.13",-1373.0,728.0,645.0,-32.0,111.0,162.0,68.0,26.0,309.0,0.0
"01","05.07.14",-2164.0,1670.0,494.0,28.0,112.0,559.0,147.0,-29.0,-322.0,0.0
"01","05.07.15",-787.0,1353.0,-566.0,333.0,90.0,-323.0,68.0,-227.0,-508.0,0.0
"01","05.07.18",439.0,-1041.0,602.0,-200.0,92.0,-183.0,73.0,10.0,810.0,0.0
"01","05.07.19",-140.0,-340.0,480.0,-149.0,55.0,912.0,-84.0,-45.0,-209.0,0.0
"01","05.07.20",-1670.0,1631.0,39.0,-504.0,-47.0,115.0,-13.0,29.0,458.0,0.0
"01","05.07.21",776.0,443.0,-1220.0,-772.0,-22.0,-88.0,-195.0,-12.0,-132.0,0.0
"01","05.07.22",-1811.0,-834.0,2645.0,-316.0,233.0,4286.0,278.0,90.0,-1926.0,0.0
"01","05.07.25",-2185.0,-502.0,2687.0,178.0,113.0,1460.0,-141.0,60.0,1017.0,0.0
"01","05.07.26",-850.0,679.0,171.0,341.0,-12.0,-1184.0,-65.0,97.0,993.0,0.0
"01","05.07.27",-315.0,-110.0,425.0,379.0,284.0,-1157.0,107.0,11.0,801.0,0.0
"01","05.07.28",-612.0,1148.0,-536.0,-45.0,204.0,-1307.0,73.0,77.0,463.0,0.0
"01","05.07.29",-719.0,683.0,35.0,-120.0,128.0,-65.0,42.0,-21.0,72.0,0.0
"01","05.08.01",-57.0,792.0,-734.0,33.0,28.0,-774.0,7.0,-13.0,-16.0,0.0
"01","05.08.02",-744.0,926.0,-182.0,-712.0,105.0,76.0,-43.0,-76.0,469.0,0.0
"01","05.08.03",-207.0,219.0,-12.0,-34.0,54.0,715.0,-509.0,31.0,-270.0,0.0
"01","05.08.04",-1220.0,-446.0,1666.0,-782.0,258.0,2543.0,-105.0,-24.0,-224.0,0.0
"01","05.08.05",-1777.0,-505.0,2282.0,-183.0,83.0,1190.0,-189.0,-26.0,1408.0,0.0
"01","05.08.08",-699.0,-878.0,1577.0,151.0,-24.0,810.0,-192.0,-101.0,933.0,0.0
"01","05.08.09",-71.0,-1006.0,1077.0,264.0,106.0,209.0,-75.0,21.0,551.0,0.0
"01","05.08.10",22.0,675.0,-697.0,-172.0,-74.0,-327.0,-128.0,-73.0,77.0,0.0
"01","05.08.11",-844.0,218.0,625.0,-112.0,202.0,196.0,-327.0,19.0,647.0,0.0
"01","05.08.12",229.0,125.0,-354.0,244.0,405.0,-1081.0,-123.0,31.0,171.0,0.0
"01","05.08.16",248.0,-518.0,270.0,-37.0,-48.0,-166.0,-261.0,26.0,756.0,0.0
"01","05.08.17",200.0,-1984.0,1784.0,-123.0,41.0,1562.0,-298.0,-9.0,611.0,0.0
"01","05.08.18",801.0,-641.0,-159.0,-22.0,-12.0,-107.0,-28.0,-69.0,80.0,0.0
"01","05.08.19",17.0,-353.0,336.0,-340.0,-77.0,273.0,141.0,-121.0,460.0,0.0
"01","05.08.22",-1655.0,-1453.0,3108.0,281.0,174.0,1780.0,137.0,-31.0,767.0,0.0
"01","05.08.23",377.0,-3534.0,3157.0,173.0,27.0,1295.0,217.0,-16.0,1461.0,0.0
"01","05.08.24",2805.0,-63.0,-2743.0,-491.0,252.0,-830.0,-4.0,21.0,-1691.0,0.0
"01","05.08.25",646.0,-2538.0,1891.0,180.0,41.0,1228.0,138.0,-1.0,305.0,0.0
"01","05.08.26",-448.0,-278.0,726.0,53.0,-107.0,210.0,-4.0,-26.0,600.0,0.0
"01","05.08.29",-128.0,859.0,-732.0,-269.0,94.0,588.0,-125.0,-29.0,-991.0,0.0
"01","05.08.30",427.0,-393.0,-34.0,125.0,195.0,728.0,45.0,32.0,-1158.0,0.0
"01","05.08.31",-908.0,-214.0,1122.0,126.0,53.0,1326.0,11.0,34.0,-428.0,0.0
"01","05.09.01",-2168.0,816.0,1352.0,141.0,148.0,971.0,-27.0,57.0,62.0,0.0
"01","05.09.02",-2754.0,1307.0,1446.0,17.0,56.0,1238.0,-214.0,0.0,349.0,0.0
"01","05.09.05",-144.0,338.0,-194.0,57.0,66.0,102.0,-34.0,-118.0,-267.0,0.0
"01","05.09.06",-2725.0,-873.0,3598.0,-24.0,227.0,2681.0,-319.0,19.0,1014.0,0.0
"01","05.09.07",-2117.0,472.0,1645.0,178.0,232.0,1092.0,-89.0,-43.0,276.0,0.0
"01","05.09.08",-663.0,14.0,649.0,401.0,173.0,-3823.0,-498.0,-85.0,4481.0,0.0
"01","05.09.09",173.0,-1260.0,1087.0,96.0,84.0,321.0,-125.0,40.0,670.0,0.0
"01","05.09.12",-43.0,1505.0,-1462.0,-250.0,12.0,357.0,-448.0,-38.0,-1096.0,0.0
"01","05.09.13",537.0,748.0,-1285.0,-553.0,63.0,-413.0,-165.0,-4.0,-214.0,0.0
"01","05.09.14",-49.0,-1590.0,1639.0,-130.0,15.0,1779.0,-388.0,9.0,355.0,0.0
"01","05.09.15",1455.0,-498.0,-958.0,-266.0,11.0,-378.0,-238.0,24.0,-112.0,0.0
"01","05.09.16",1135.0,-1277.0,142.0,154.0,-66.0,324.0,-394.0,8.0,115.0,0.0
"01","05.09.20",1150.0,-688.0,-461.0,69.0,-777.0,693.0,-495.0,149.0,-100.0,0.0
"01","05.09.21",-681.0,822.0,-142.0,-29.0,33.0,-308.0,26.0,30.0,105.0,0.0
"01","05.09.22",579.0,-1218.0,639.0,-40.0,195.0,539.0,106.0,-83.0,-77.0,0.0
"01","05.09.23",1828.0,-2182.0,353.0,-588.0,16.0,883.0,113.0,-40.0,-30.0,0.0
"01","05.09.26",-1821.0,-2817.0,4638.0,311.0,-140.0,3721.0,-83.0,-74.0,904.0,0.0
"01","05.09.27",-332.0,-634.0,966.0,162.0,242.0,1271.0,-741.0,-39.0,70.0,0.0
"01","05.09.28",-733.0,-466.0,1199.0,-335.0,288.0,1042.0,-64.0,-54.0,322.0,0.0
"01","05.09.29",-1010.0,-521.0,1532.0,107.0,104.0,1535.0,-345.0,9.0,121.0,0.0
"01","05.09.30",-718.0,-339.0,1057.0,50.0,7.0,782.0,-120.0,-26.0,364.0,0.0
"01","05.10.04",-916.0,-2212.0,3129.0,428.0,75.0,2025.0,29.0,0.0,571.0,0.0
"01","05.10.05",2067.0,4.0,-2071.0,-38.0,201.0,-2075.0,156.0,30.0,-346.0,0.0
"01","05.10.06",4085.0,-2077.0,-2008.0,-219.0,73.0,221.0,-359.0,7.0,-1732.0,0.0
"01","05.10.07",225.0,-4171.0,3946.0,-182.0,145.0,3319.0,34.0,-35.0,666.0,0.0
"01","05.10.10",-3122.0,-1177.0,4299.0,-135.0,99.0,3731.0,-88.0,-37.0,729.0,0.0
"01","05.10.11",-1708.0,-632.0,2340.0,-70.0,164.0,1660.0,-16.0,53.0,549.0,0.0
"01","05.10.12",2270.0,-466.0,-1804.0,-255.0,-98.0,-967.0,-1.0,-39.0,-443.0,0.0
"01","05.10.13",7044.0,-878.0,-6165.0,24.0,531.0,193.0,-4011.0,68.0,-2970.0,0.0
"01","05.10.14",2011.0,-2251.0,240.0,-546.0,116.0,1500.0,-67.0,6.0,-769.0,0.0
"01","05.10.17",-535.0,-978.0,1514.0,-66.0,-36.0,1195.0,6.0,-19.0,434.0,0.0
"01","05.10.18",-1671.0,-1982.0,3653.0,-38.0,-24.0,3347.0,-75.0,19.0,425.0,0.0
"01","05.10.19",1180.0,-2774.0,1594.0,90.0,146.0,1074.0,-25.0,43.0,267.0,0.0
"01","05.10.20",-1483.0,-1473.0,2956.0,178.0,117.0,1959.0,-87.0,-10.0,799.0,0.0
"01","05.10.21",-3274.0,-2383.0,5657.0,-83.0,72.0,4515.0,12.0,-17.0,1157.0,0.0
"01","05.10.24",581.0,-214.0,-367.0,229.0,108.0,-402.0,-59.0,-102.0,-141.0,0.0
"01","05.10.25",641.0,-907.0,266.0,124.0,35.0,427.0,-344.0,-70.0,93.0,0.0
"01","05.10.26",2460.0,-648.0,-1813.0,92.0,-120.0,-985.0,-140.0,-30.0,-630.0,0.0
"01","05.10.27",1865.0,72.0,-1937.0,175.0,278.0,1769.0,-7161.0,95.0,2907.0,0.0
"01","05.10.28",3095.0,-557.0,-2538.0,-370.0,154.0,-1470.0,-4.0,-111.0,-737.0,0.0
"01","05.10.31",-527.0,-909.0,1436.0,-140.0,42.0,1895.0,-180.0,36.0,-217.0,0.0
"01","05.11.01",-1825.0,2403.0,-578.0,138.0,-115.0,26.0,-58.0,187.0,-757.0,0.0
"01","05.11.02",-3044.0,398.0,2646.0,107.0,152.0,1755.0,-120.0,62.0,690.0,0.0
"01","05.11.03",-2597.0,1191.0,1405.0,373.0,-72.0,1364.0,-285.0,-163.0,188.0,0.0
"01","05.11.04",-2490.0,795.0,1695.0,282.0,-196.0,1961.0,-84.0,-165.0,-102.0,0.0
"01","05.11.07",-85.0,80.0,5.0,47.0,-9.0,348.0,-219.0,-19.0,-144.0,0.0
"01","05.11.08",-1138.0,-523.0,1662.0,47.0,105.0,1198.0,-95.0,-25.0,432.0,0.0
"01","05.11.09",-2018.0,-412.0,2431.0,240.0,85.0,922.0,116.0,-26.0,1093.0,0.0
"01","05.11.10",-482.0,-939.0,1421.0,40.0,71.0,-1933.0,186.0,1.0,3056.0,0.0
"01","05.11.11",-3900.0,333.0,3567.0,536.0,135.0,2034.0,-172.0,-243.0,1277.0,0.0
"01","05.11.14",-778.0,1786.0,-1008.0,-17.0,-2.0,-801.0,69.0,-109.0,-148.0,0.0
"01","05.11.15",914.0,-779.0,-136.0,85.0,-68.0,5.0,-69.0,-32.0,-57.0,0.0
"01","05.11.16",-721.0,-624.0,1345.0,-27.0,66.0,1715.0,-36.0,-37.0,-337.0,0.0
"01","05.11.17",-66.0,153.0,-87.0,-527.0,-29.0,653.0,-83.0,-45.0,-56.0,0.0
"01","05.11.18",-273.0,1256.0,-983.0,-20.0,102.0,3.0,39.0,-39.0,-1068.0,0.0
"01","05.11.21",622.0,146.0,-767.0,-132.0,-33.0,-134.0,16.0,-212.0,-272.0,0.0
"01","05.11.22",2946.0,-1949.0,-997.0,-429.0,-116.0,80.0,58.0,47.0,-638.0,0.0
"01","05.11.23",-1788.0,-443.0,2231.0,-200.0,-127.0,2849.0,87.0,-128.0,-251.0,0.0
"01","05.11.24",-372.0,585.0,-213.0,13.0,44.0,-206.0,-91.0,-37.0,66.0,0.0
"01","05.11.25",49.0,-1285.0,1236.0,158.0,-135.0,175.0,51.0,-82.0,1069.0,0.0
"01","05.11.28",-126.0,-300.0,426.0,-375.0,3.0,346.0,69.0,-33.0,416.0,0.0
"01","05.11.29",1106.0,-760.0,-345.0,-684.0,55.0,-187.0,287.0,-45.0,228.0,0.0
"01","05.11.30",-2197.0,-978.0,3175.0,-189.0,84.0,2890.0,197.0,-127.0,320.0,0.0
"01","05.12.01",-493.0,-215.0,708.0,-177.0,132.0,834.0,54.0,-6.0,-129.0,0.0
"01","05.12.02",-1973.0,3639.0,-1666.0,10.0,134.0,-1193.0,-171.0,16.0,-462.0,0.0
"01","05.12.05",-842.0,1066.0,-224.0,258.0,-1.0,533.0,348.0,-4.0,-1357.0,0.0
"01","05.12.06",-965.0,582.0,383.0,16.0,-2.0,121.0,205.0,-49.0,92.0,0.0
"01","05.12.07",990.0,-215.0,-775.0,225.0,13.0,-1010.0,-150.0,-23.0,171.0,0.0
"01","05.12.08",1290.0,-1494.0,204.0,5.0,-440.0,1326.0,-46.0,12.0,-653.0,0.0
"01","05.12.09",81.0,-2524.0,2443.0,50.0,-607.0,2805.0,64.0,24.0,106.0,0.0
"01","05.12.12",-2123.0,-2905.0,5028.0,107.0,-471.0,4461.0,-48.0,-3.0,982.0,0.0
"01","05.12.13",34.0,-1246.0,1212.0,168.0,-158.0,890.0,71.0,106.0,135.0,0.0
"01","05.12.14",1175.0,1229.0,-2404.0,125.0,14.0,-1610.0,-8.0,-1.0,-924.0,0.0
"01","05.12.15",576.0,-2427.0,1851.0,69.0,-413.0,1713.0,141.0,-1.0,342.0,0.0
"01","05.12.16",1517.0,-1647.0,129.0,93.0,-563.0,378.0,-100.0,25.0,297.0,0.0
"01","05.12.19",-1128.0,-2872.0,4001.0,-218.0,-213.0,3662.0,-119.0,-70.0,958.0,0.0
"01","05.12.20",128.0,-1155.0,1027.0,9.0,109.0,234.0,249.0,-6.0,432.0,0.0
"01","05.12.21",-15.0,-304.0,319.0,376.0,370.0,745.0,807.0,-65.0,-1914.0,0.0
"01","05.12.22",861.0,-183.0,-678.0,298.0,59.0,-1396.0,106.0,54.0,201.0,0.0
"01","05.12.23",311.0,-943.0,633.0,391.0,93.0,-360.0,104.0,-59.0,464.0,0.0
"01","05.12.26",-459.0,-852.0,1311.0,215.0,137.0,829.0,182.0,4.0,-56.0,0.0
"01","05.12.27",-1603.0,28.0,1575.0,420.0,18.0,1305.0,-94.0,-67.0,-7.0,0.0
"01","05.12.28",700.0,-1249.0,549.0,277.0,-78.0,-54.0,70.0,133.0,201.0,0.0
"01","05.12.29",-1578.0,394.0,1183.0,456.0,64.0,1254.0,-200.0,81.0,-471.0,0.0
"01","06.01.02",-1578.0,394.0,1183.0,456.0,64.0,1254.0,-200.0,81.0,-471.0,0.0
"01","06.01.03",1162.0,-62.0,-1100.0,350.0,-24.0,1048.0,215.0,-77.0,-2612.0,0.0
"01","06.01.04",-2311.0,1876.0,434.0,-120.0,59.0,2436.0,66.0,10.0,-2018.0,0.0
"01","06.01.05",-2203.0,865.0,1338.0,-989.0,120.0,1645.0,123.0,-80.0,519.0,0.0
"01","06.01.06",-1693.0,113.0,1580.0,176.0,82.0,1248.0,-94.0,-12.0,181.0,0.0
