"TYPE_CODE","DATEON","CLOSING_PRICE","UP_DOWN_PER","VOLUME","VOLUME_AMT"
KOSDAQ,"2003.02.10",422.6,-1.19,263571.0,666666.0
KOSDAQ,"2003.02.11",421.5,-0.26,451275.0,1015630.0
KOSDAQ,"2003.02.12",424.3,0.66,340088.0,784721.0
KOSDAQ,"2003.02.13",422.2,-0.49,357582.0,781423.0
KOSDAQ,"2003.02.14",423.8,0.38,406118.0,800480.0
KOSDAQ,"2003.02.17",441.2,4.11,383063.0,963263.0
KOSDAQ,"2003.02.18",439.2,-0.45,437982.0,1024590.0
KOSDAQ,"2003.02.19",436.6,-0.59,465938.0,1028090.0
KOSDAQ,"2003.02.20",437.9,0.3,414717.0,878189.0
KOSDAQ,"2003.02.21",435.0,-0.66,367641.0,796733.0
KOSDAQ,"2003.02.24",438.8,0.87,343032.0,843619.0
KOSDAQ,"2003.02.25",424.3,-3.3,346435.0,792971.0
KOSDAQ,"2003.02.26",425.8,0.35,317183.0,699992.0
KOSDAQ,"2003.02.27",428.2,0.56,349402.0,648086.0
KOSDAQ,"2003.02.28",417.8,-2.43,324171.0,624376.0
KOSDAQ,"2003.03.03",420.6,0.67,293008.0,569693.0
KOSDAQ,"2003.03.04",409.8,-2.57,286190.0,557788.0
KOSDAQ,"2003.03.05",393.6,-3.95,311534.0,586834.0
KOSDAQ,"2003.03.06",381.9,-2.97,281991.0,523052.0
KOSDAQ,"2003.03.07",366.9,-3.93,302569.0,595754.0
KOSDAQ,"2003.03.10",362.0,-1.34,286621.0,494832.0
KOSDAQ,"2003.03.11",354.3,-2.13,304557.0,530474.0
KOSDAQ,"2003.03.12",368.3,3.95,342415.0,657594.0
KOSDAQ,"2003.03.13",360.7,-2.06,313197.0,576713.0
KOSDAQ,"2003.03.14",370.1,2.61,272306.0,674368.0
KOSDAQ,"2003.03.17",346.4,-6.4,293266.0,545610.0
KOSDAQ,"2003.03.18",365.0,5.37,328142.0,706781.0
KOSDAQ,"2003.03.19",367.7,0.74,305973.0,795355.0
KOSDAQ,"2003.03.20",391.4,6.45,415533.0,1094670.0
KOSDAQ,"2003.03.21",401.0,2.45,396471.0,993326.0
KOSDAQ,"2003.03.24",395.4,-1.4,388152.0,931159.0
KOSDAQ,"2003.03.25",379.7,-3.97,401248.0,923849.0
KOSDAQ,"2003.03.26",386.3,1.74,436745.0,963812.0
KOSDAQ,"2003.03.27",384.9,-0.36,354581.0,738981.0
KOSDAQ,"2003.03.28",392.8,2.05,452116.0,968922.0
KOSDAQ,"2003.03.31",377.7,-3.84,366891.0,809393.0
KOSDAQ,"2003.04.01",382.5,1.27,332750.0,718648.0
KOSDAQ,"2003.04.02",387.7,1.36,427016.0,920718.0
KOSDAQ,"2003.04.03",387.7,0.0,457249.0,1110020.0
KOSDAQ,"2003.04.04",394.1,1.65,400562.0,964305.0
KOSDAQ,"2003.04.07",411.2,4.34,427544.0,1117990.0
KOSDAQ,"2003.04.08",411.9,0.17,410778.0,1059940.0
KOSDAQ,"2003.04.09",404.9,-1.7,431130.0,1150110.0
KOSDAQ,"2003.04.10",408.1,0.79,392953.0,985869.0
KOSDAQ,"2003.04.11",410.8,0.66,408331.0,1012070.0
KOSDAQ,"2003.04.14",419.7,2.17,421644.0,1017180.0
KOSDAQ,"2003.04.15",429.6,2.36,487347.0,1291350.0
KOSDAQ,"2003.04.16",442.2,2.93,541159.0,1444560.0
KOSDAQ,"2003.04.17",439.4,-0.63,452530.0,1204570.0
KOSDAQ,"2003.04.18",448.3,2.03,469740.0,1412610.0
KOSDAQ,"2003.04.21",454.6,1.41,459361.0,1189340.0
KOSDAQ,"2003.04.22",444.4,-2.24,465091.0,1104740.0
KOSDAQ,"2003.04.23",439.5,-1.1,531107.0,1347240.0
KOSDAQ,"2003.04.24",430.5,-2.05,493027.0,1189380.0
KOSDAQ,"2003.04.25",408.9,-5.02,470821.0,1230140.0
KOSDAQ,"2003.04.28",408.5,-0.1,426039.0,1074510.0
KOSDAQ,"2003.04.29",430.5,5.39,494610.0,1407800.0
KOSDAQ,"2003.04.30",428.0,-0.58,397736.0,1264620.0
KOSDAQ,"2003.05.02",432.9,1.14,401158.0,1336020.0
KOSDAQ,"2003.05.06",432.6,-0.07,389576.0,1316310.0
KOSDAQ,"2003.05.07",436.3,0.86,437231.0,1223910.0
KOSDAQ,"2003.05.09",437.7,0.32,369986.0,1015910.0
KOSDAQ,"2003.05.12",449.6,2.72,472686.0,1512440.0
KOSDAQ,"2003.05.13",440.5,-2.02,519619.0,1587760.0
KOSDAQ,"2003.05.14",440.1,-0.09,408593.0,1288500.0
KOSDAQ,"2003.05.15",441.4,0.3,416778.0,1333100.0
KOSDAQ,"2003.05.16",439.8,-0.36,369552.0,1437170.0
KOSDAQ,"2003.05.19",431.1,-1.98,334783.0,1021440.0
KOSDAQ,"2003.05.20",439.6,1.97,379148.0,1468810.0
KOSDAQ,"2003.05.21",441.7,0.48,434391.0,1740730.0
KOSDAQ,"2003.05.22",443.9,0.5,457579.0,1894850.0
KOSDAQ,"2003.05.23",456.3,2.79,435541.0,1568090.0
KOSDAQ,"2003.05.26",472.4,3.53,521623.0,1955690.0
KOSDAQ,"2003.05.27",472.5,0.02,663132.0,2267640.0
KOSDAQ,"2003.05.28",470.3,-0.47,574879.0,1996860.0
KOSDAQ,"2003.05.29",470.9,0.13,558202.0,1855370.0
KOSDAQ,"2003.05.30",471.8,0.19,549087.0,1728850.0
KOSDAQ,"2003.06.02",476.7,1.04,531408.0,1601830.0
KOSDAQ,"2003.06.03",465.9,-2.27,560158.0,1760240.0
KOSDAQ,"2003.06.04",473.7,1.67,442500.0,1394190.0
KOSDAQ,"2003.06.05",472.6,-0.23,456305.0,1487520.0
KOSDAQ,"2003.06.09",481.9,1.97,457396.0,1493550.0
KOSDAQ,"2003.06.10",481.8,-0.02,577584.0,1638420.0
KOSDAQ,"2003.06.11",482.9,0.23,504541.0,1679190.0
KOSDAQ,"2003.06.12",492.6,2.01,488790.0,1634580.0
KOSDAQ,"2003.06.13",497.5,0.99,598269.0,1961700.0
KOSDAQ,"2003.06.16",500.2,0.54,561561.0,1694580.0
KOSDAQ,"2003.06.17",506.3,1.22,653985.0,1929820.0
KOSDAQ,"2003.06.18",505.5,-0.16,613871.0,1624700.0
KOSDAQ,"2003.06.19",508.6,0.61,625211.0,1708960.0
KOSDAQ,"2003.06.20",508.0,-0.12,558698.0,1492560.0
KOSDAQ,"2003.06.23",493.6,-2.83,528956.0,1275490.0
KOSDAQ,"2003.06.24",489.4,-0.85,494776.0,1296270.0
KOSDAQ,"2003.06.25",493.1,0.76,494273.0,1176760.0
KOSDAQ,"2003.06.26",490.1,-0.61,461366.0,1140260.0
KOSDAQ,"2003.06.27",496.8,1.37,476050.0,1427740.0
KOSDAQ,"2003.06.30",497.5,0.14,374425.0,1266850.0
KOSDAQ,"2003.07.01",501.7,0.84,534659.0,1426590.0
KOSDAQ,"2003.07.02",507.4,1.14,514056.0,1445570.0
KOSDAQ,"2003.07.03",508.2,0.16,630853.0,1938390.0
KOSDAQ,"2003.07.04",515.9,1.52,493307.0,1455290.0
KOSDAQ,"2003.07.07",532.1,3.14,608302.0,2109730.0
KOSDAQ,"2003.07.08",531.0,-0.21,680318.0,2138200.0
KOSDAQ,"2003.07.09",535.0,0.75,559067.0,1721000.0
KOSDAQ,"2003.07.10",527.9,-1.33,563595.0,1745700.0
KOSDAQ,"2003.07.11",525.5,-0.45,520731.0,1602760.0
KOSDAQ,"2003.07.14",531.2,1.08,501438.0,1745020.0
KOSDAQ,"2003.07.15",520.7,-1.98,553647.0,1760160.0
KOSDAQ,"2003.07.16",522.2,0.29,497267.0,1646330.0
KOSDAQ,"2003.07.18",506.0,-3.1,485970.0,1422110.0
KOSDAQ,"2003.07.21",494.9,-2.19,454054.0,1284210.0
KOSDAQ,"2003.07.22",490.2,-0.95,487095.0,1375780.0
KOSDAQ,"2003.07.23",487.6,-0.53,393310.0,1266360.0
KOSDAQ,"2003.07.24",487.7,0.02,443575.0,1079980.0
KOSDAQ,"2003.07.25",490.1,0.49,383819.0,1071690.0
KOSDAQ,"2003.07.28",503.8,2.8,434595.0,1330710.0
KOSDAQ,"2003.07.29",501.2,-0.52,439400.0,1208180.0
KOSDAQ,"2003.07.30",494.7,-1.3,407871.0,1149030.0
KOSDAQ,"2003.07.31",493.3,-0.28,335808.0,1012580.0
KOSDAQ,"2003.08.01",496.6,0.67,389003.0,1027240.0
KOSDAQ,"2003.08.04",485.3,-2.28,303755.0,912735.0
KOSDAQ,"2003.08.05",487.2,0.39,357432.0,982977.0
KOSDAQ,"2003.08.06",482.4,-0.99,346448.0,890120.0
KOSDAQ,"2003.08.07",484.7,0.48,371719.0,1146120.0
KOSDAQ,"2003.08.08",481.6,-0.64,406173.0,1088350.0
KOSDAQ,"2003.08.11",482.8,0.25,404441.0,1033160.0
KOSDAQ,"2003.08.12",483.1,0.06,435997.0,1176760.0
KOSDAQ,"2003.08.13",488.5,1.12,400306.0,1323120.0
KOSDAQ,"2003.08.14",487.6,-0.18,395411.0,1349800.0
KOSDAQ,"2003.08.18",490.9,0.68,440568.0,1297000.0
KOSDAQ,"2003.08.19",491.0,0.02,529481.0,1413980.0
KOSDAQ,"2003.08.20",487.8,-0.65,459096.0,1369310.0
KOSDAQ,"2003.08.21",492.2,0.9,467195.0,1295520.0
KOSDAQ,"2003.08.22",489.4,-0.57,413098.0,1212200.0
KOSDAQ,"2003.08.25",494.0,0.94,335646.0,1060620.0
KOSDAQ,"2003.08.26",487.9,-1.23,349312.0,985526.0
KOSDAQ,"2003.08.27",488.3,0.08,383774.0,1024670.0
KOSDAQ,"2003.08.28",485.5,-0.57,340779.0,996352.0
KOSDAQ,"2003.08.29",495.4,2.04,366884.0,1147320.0
KOSDAQ,"2003.09.01",505.3,2.0,403576.0,1222880.0
KOSDAQ,"2003.09.02",508.7,0.67,390926.0,1120700.0
KOSDAQ,"2003.09.03",505.6,-0.61,418085.0,1315660.0
KOSDAQ,"2003.09.04",501.0,-0.91,401154.0,1085620.0
KOSDAQ,"2003.09.05",496.5,-0.9,407003.0,984832.0
KOSDAQ,"2003.09.08",488.3,-1.65,364033.0,820384.0
KOSDAQ,"2003.09.09",491.9,0.74,373589.0,912569.0
KOSDAQ,"2003.09.15",492.3,0.08,288527.0,784064.0
KOSDAQ,"2003.09.16",496.5,0.85,361288.0,844686.0
KOSDAQ,"2003.09.17",496.5,0.0,380392.0,956176.0
KOSDAQ,"2003.09.18",487.5,-1.81,386680.0,980041.0
KOSDAQ,"2003.09.19",483.7,-0.78,425224.0,1016550.0
KOSDAQ,"2003.09.22",460.3,-4.84,410684.0,920994.0
KOSDAQ,"2003.09.23",463.5,0.7,383258.0,947378.0
KOSDAQ,"2003.09.24",467.1,0.78,368127.0,951860.0
KOSDAQ,"2003.09.25",456.9,-2.18,360046.0,813752.0
KOSDAQ,"2003.09.26",451.0,-1.29,352949.0,848398.0
KOSDAQ,"2003.09.29",448.5,-0.55,298710.0,683908.0
KOSDAQ,"2003.09.30",448.6,0.02,396912.0,854586.0
KOSDAQ,"2003.10.01",451.9,0.74,306339.0,739767.0
KOSDAQ,"2003.10.02",459.2,1.62,318912.0,944106.0
KOSDAQ,"2003.10.06",465.3,1.33,273840.0,819103.0
KOSDAQ,"2003.10.07",464.1,-0.26,316373.0,841704.0
KOSDAQ,"2003.10.08",459.6,-0.97,355051.0,898559.0
