"TYPE_CODE","DATEON","PERSONAL","FOREIGNER","COMPANY","FINANCE","INSURANCE","TOOSIN","BANK","ETC_FIN","GOV_FUND","ETC_FUND"
"02","05.09.01",-121.0,85.0,36.0,11.0,1.0,-33.0,11.0,14.0,32.0,0.0
"02","05.09.02",100.0,-155.0,55.0,26.0,19.0,47.0,-33.0,3.0,-8.0,0.0
"02","05.09.05",97.0,-44.0,-53.0,33.0,12.0,35.0,-36.0,-12.0,-84.0,0.0
"02","05.09.06",-30.0,-6.0,36.0,-12.0,9.0,6.0,-36.0,2.0,67.0,0.0
"02","05.09.07",-135.0,78.0,57.0,35.0,31.0,24.0,-11.0,5.0,-26.0,0.0
"02","05.09.08",-91.0,129.0,-37.0,9.0,7.0,19.0,-21.0,-9.0,-41.0,0.0
"02","05.09.09",-16.0,-43.0,58.0,15.0,-5.0,84.0,10.0,9.0,-55.0,0.0
"02","05.09.12",-18.0,169.0,-150.0,25.0,-10.0,-71.0,-10.0,-5.0,-80.0,0.0
"02","05.09.13",31.0,65.0,-96.0,-6.0,-5.0,-26.0,-5.0,-7.0,-47.0,0.0
"02","05.09.14",-49.0,105.0,-56.0,16.0,16.0,-90.0,6.0,1.0,-5.0,0.0
"02","05.09.15",-57.0,104.0,-47.0,-10.0,-6.0,-5.0,6.0,-9.0,-23.0,0.0
"02","05.09.16",-222.0,96.0,126.0,31.0,21.0,86.0,-19.0,7.0,-1.0,0.0
"02","05.09.20",273.0,-90.0,-182.0,4.0,-57.0,36.0,-36.0,15.0,-144.0,0.0
"02","05.09.21",275.0,-156.0,-120.0,-16.0,-19.0,-67.0,8.0,1.0,-27.0,0.0
"02","05.09.22",345.0,-225.0,-120.0,15.0,44.0,88.0,-12.0,-4.0,-251.0,0.0
"02","05.09.23",263.0,-326.0,63.0,-23.0,4.0,83.0,-8.0,17.0,-11.0,0.0
"02","05.09.26",-70.0,-124.0,194.0,-12.0,-14.0,102.0,29.0,-6.0,95.0,0.0
"02","05.09.27",-191.0,35.0,156.0,20.0,2.0,170.0,-7.0,2.0,-31.0,0.0
"02","05.09.28",-231.0,234.0,-3.0,-38.0,43.0,107.0,-28.0,-17.0,-69.0,0.0
"02","05.09.29",-241.0,335.0,-95.0,-40.0,9.0,46.0,-18.0,-12.0,-80.0,0.0
"02","05.09.30",-521.0,354.0,167.0,-2.0,51.0,128.0,3.0,-12.0,-1.0,0.0
"02","05.10.04",-615.0,449.0,165.0,61.0,44.0,61.0,30.0,-12.0,-19.0,0.0
"02","05.10.05",-364.0,296.0,69.0,-60.0,66.0,140.0,-2.0,-1.0,-75.0,0.0
"02","05.10.06",-217.0,83.0,134.0,-21.0,22.0,210.0,-13.0,-5.0,-58.0,0.0
"02","05.10.07",-241.0,29.0,212.0,6.0,6.0,261.0,18.0,-11.0,-68.0,0.0
"02","05.10.10",-346.0,219.0,127.0,18.0,3.0,155.0,18.0,-29.0,-38.0,0.0
"02","05.10.11",-214.0,53.0,160.0,14.0,20.0,150.0,-3.0,18.0,-39.0,0.0
"02","05.10.12",131.0,-71.0,-60.0,-74.0,5.0,72.0,-36.0,-2.0,-25.0,0.0
"02","05.10.13",289.0,-469.0,180.0,12.0,30.0,184.0,-2.0,-8.0,-36.0,0.0
"02","05.10.14",132.0,-249.0,117.0,-13.0,-6.0,121.0,2.0,-2.0,15.0,0.0
"02","05.10.17",112.0,-205.0,93.0,14.0,-20.0,91.0,-28.0,5.0,31.0,0.0
"02","05.10.18",-94.0,162.0,-69.0,-3.0,8.0,11.0,12.0,-2.0,-95.0,0.0
"02","05.10.19",31.0,-117.0,86.0,-65.0,43.0,127.0,-46.0,11.0,16.0,0.0
"02","05.10.20",-209.0,11.0,198.0,-6.0,15.0,136.0,-5.0,3.0,56.0,0.0
"02","05.10.21",-382.0,156.0,226.0,28.0,1.0,177.0,-17.0,0.0,36.0,0.0
"02","05.10.24",-271.0,88.0,184.0,0.0,42.0,78.0,13.0,9.0,41.0,0.0
"02","05.10.25",82.0,-108.0,26.0,20.0,13.0,74.0,-27.0,-16.0,-38.0,0.0
"02","05.10.26",281.0,-5.0,-276.0,9.0,-10.0,-209.0,-8.0,-11.0,-47.0,0.0
"02","05.10.27",61.0,-119.0,59.0,-8.0,16.0,81.0,5.0,-3.0,-32.0,0.0
"02","05.10.28",-69.0,-111.0,180.0,-29.0,33.0,140.0,10.0,-2.0,28.0,0.0
"02","05.10.31",-38.0,-68.0,106.0,8.0,12.0,110.0,10.0,11.0,-45.0,0.0
"02","05.11.01",-359.0,239.0,119.0,26.0,-16.0,127.0,-16.0,18.0,-19.0,0.0
